lat	long	quadrant	continent.region	country
-13.0029	-61	7	Americas	Chile
-13.0029	-59.2	7	Americas	Chile
-13.0029	-57.4	7	Americas	Chile
-13.0029	-55.6	7	Americas	Chile
-13.0029	-53.8	7	Americas	Chile
-13.0029	-52	7	Americas	Chile
-13.0029	-50.2	7	Americas	Chile
-13.0029	-48.4	7	Americas	Chile
-13.0029	-46.6	7	Americas	Chile
-13.0029	-44.8	7	Americas	Chile
-13.0029	-43	7	Americas	Chile
-13.0029	-41.2	7	Americas	Chile
-13.0029	-39.4	7	Americas	Chile
-13.0029	14.6	8	Africa	**
-13.0029	16.4	8	Africa	**
-13.0029	18.2	8	Africa	**
-13.0029	20	8	Africa	**
-13.0029	21.8	8	Africa	**
-13.0029	23.6	8	Africa	**
-13.0029	25.4	8	Africa	**
-13.0029	27.2	8	Africa	**
-13.0029	29	8	Africa	**
-13.0029	30.8	8	Africa	**
-13.0029	32.6	8	Africa	**
-13.0029	34.4	8	Africa	**
-13.0029	36.2	8	Africa	**
-13.0029	38	8	Africa	**
-13.0029	39.8	8	Africa	**
-13.0029	131.6	10	Pacific	**
-13.0029	133.4	10	Pacific	**
-13.0029	135.2	10	Pacific	**
-13.0029	142.4	10	Pacific	**
-11.537	-77.2	7	Americas	Chile
-11.537	-75.4	7	Americas	Chile
-11.537	-73.6	7	Americas	Chile
-11.537	-71.8	7	Americas	Chile
-11.537	-70	7	Americas	Chile
-11.537	-68.2	7	Americas	Chile
-11.537	-66.4	7	Americas	Chile
-11.537	-64.6	7	Americas	Chile
-11.537	-62.8	7	Americas	Chile
-11.537	-61	7	Americas	Chile
-11.537	-59.2	7	Americas	Chile
-11.537	-57.4	7	Americas	Chile
-11.537	-55.6	7	Americas	Chile
-11.537	-53.8	7	Americas	Chile
-11.537	-52	7	Americas	Chile
-11.537	-50.2	7	Americas	Chile
-11.537	-48.4	7	Americas	Chile
-11.537	-46.6	7	Americas	Chile
-11.537	-44.8	7	Americas	Chile
-11.537	-43	7	Americas	Chile
-11.537	-41.2	7	Americas	Chile
-11.537	-39.4	7	Americas	Chile
-11.537	-37.6	7	Americas	Chile
-11.537	14.6	8	Africa	**
-11.537	16.4	8	Africa	**
-11.537	18.2	8	Africa	**
-11.537	20	8	Africa	**
-11.537	21.8	8	Africa	**
-11.537	23.6	8	Africa	**
-11.537	25.4	8	Africa	**
-11.537	27.2	8	Africa	**
-11.537	29	8	Africa	**
-11.537	30.8	8	Africa	**
-11.537	32.6	8	Africa	**
-11.537	34.4	8	Africa	**
-11.537	36.2	8	Africa	**
-11.537	38	8	Africa	**
-11.537	39.8	8	Africa	**
-11.537	142.4	10	Pacific	**
-10.0787	-77.2	7	Americas	Chile
